name,subject,number,avg_gpa,percent_4s,num_students
Modeling Nuclear Energy System,NPRE,247,2.8470088495575214,0.19646017699115045,565.0
Nuclear Power Engineering,NPRE,402,3.50151728553137,0.37900128040973113,3124.0
Nuclear Power Econ & Fuel Mgmt,NPRE,412,3.2732167832167836,0.32167832167832167,143.0
Plasma and Fusion Science,NPRE,421,3.0934115138592753,0.2537313432835821,469.0
Plasma Engineering,NPRE,429,3.4423076923076916,0.38461538461538464,52.0
Radiation Protection,NPRE,441,3.5610144927536234,0.44306418219461696,483.0
Radioactive Waste Management,NPRE,442,3.325052083333333,0.328125,192.0
NPRE Laboratory,NPRE,451,3.1442631578947378,0.2736842105263158,190.0
Neutron Diffusion & Transport,NPRE,455,2.6783400809716595,0.22064777327935223,494.0
Design in NPRE,NPRE,458,3.6430625,0.5,320.0
Fuel Cells & Hydrogen Sources,NPRE,470,3.589896480331263,0.45134575569358176,483.0
Wind Power Systems,NPRE,475,3.786058631921825,0.6482084690553745,921.0
Relativity & Math Applications,PHYS,225,3.0751792963464135,0.28179972936400544,2956.0
Physics on the Silicon Prairie: An Introduction to Modern Computational Physics,PHYS,246,3.3814285714285717,0.5238095238095238,21.0
Classical Mechanics I,PHYS,325,3.0219288389513106,0.2842696629213483,2670.0
Classical Mechanics II,PHYS,326,3.0072570194384456,0.23110151187904968,1389.0
Introduction to Quantum Information and Computing,PHYS,370,3.0762500000000004,0.4583333333333333,48.0
Classical Physics Lab,PHYS,401,3.1124695863746963,0.3284671532846715,822.0
Light,PHYS,402,3.3526415094339623,0.3754716981132076,530.0
Modern Experimental Physics,PHYS,403,3.857070707070707,0.8282828282828283,198.0
"Space, Time, and Matter-ACP",PHYS,419,2.8836724565756815,0.21588089330024815,403.0
"Space, Time, and Matter",PHYS,420,,,
Thermal & Statistical Physics,PHYS,427,3.1406774668630337,0.2709867452135493,1358.0
Condensed Matter Physics,PHYS,460,3.3758865248226946,0.43439716312056736,564.0
Subatomic Physics,PHYS,470,3.416950146627567,0.4340175953079179,341.0
Quantum Physics I,PHYS,486,3.05152610441767,0.29259896729776247,1743.0
Quantum Physics II,PHYS,487,3.219644160583942,0.354014598540146,1096.0
General Phonetics,SHS,200,3.2625058004640373,0.36040216550657383,1293.0
Intro Sound & Hearing Science,SHS,240,3.2541865671641794,0.3813432835820896,1340.0
General Speech Science,SHS,301,3.3139164490861615,0.32201914708442125,1149.0
Methods of Applied Statistics,STAT,420,3.563640805448623,0.581581285164347,6754.0
Design of Experiments,STAT,424,3.432499999999999,0.5115384615384615,260.0
Statistical Modeling I,STAT,425,3.425811586638831,0.4968684759916493,3832.0
Statistical Computing,STAT,428,3.3448219373219374,0.47150997150997154,1404.0
Time Series Analysis,STAT,429,3.3983089064261556,0.45208568207440814,887.0
Statistical Data Management,STAT,440,3.644999999999999,0.6153846153846154,2782.0
Reliability Engineering,SE,411,3.660434782608696,0.4782608695652174,46.0
Mechatronics,SE,423,3.7202880658436217,0.7119341563786008,243.0
State Space Design for Control,SE,424,3.202729411764706,0.2752941176470588,425.0
Statics,TAM,211,2.6286942070275403,0.18122823678379235,6318.0
Introductory Dynamics,TAM,212,2.872452682271251,0.1836711837831784,8929.0
Introductory Solid Mechanics,TAM,251,2.855424690055394,0.24505407544183594,7582.0
Behavior of Materials,TAM,324,,,
Introductory Fluid Mechanics,TAM,335,2.790946872322193,0.16709511568123395,4668.0
Intermediate Dynamics,TAM,412,2.8739377289377286,0.28205128205128205,546.0
Continuum Mechanics,TAM,445,2.9401239669421493,0.29338842975206614,484.0
